Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,mixtral-8x7b,mixtral-8x7b,Server,57174.1,45.3551,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/mixtral-8x7b/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Queries/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,mixtral-8x7b,mixtral-8x7b,Offline,59334.8,45.3568,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/mixtral-8x7b/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,retinanet,retinanet,Server,14012.2,37.316,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/retinanet/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Queries/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,retinanet,retinanet,Offline,14988.0,37.320,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/retinanet/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,llama2-70b-99,llama2-70b-99,Server,29715.3,44.5891,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/llama2-70b-99/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Queries/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,llama2-70b-99,llama2-70b-99,Offline,31263.8,44.5884,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/llama2-70b-99/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,bert-99.9,bert-99.9,Server,51213.6,90.969453067966,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/bert-99.9/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Queries/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,bert-99.9,bert-99.9,Offline,64368.8,90.97056894987658,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/bert-99.9/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,resnet50,resnet,Server,681328.0,76.078,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/resnet50/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Queries/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,resnet50,resnet,Offline,757446.0,76.078,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/resnet50/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,gptj-99.9,gptj-99.9,Server,19250.4,43.1004,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/gptj-99.9/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Queries/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,gptj-99.9,gptj-99.9,Offline,20041.3,43.1017,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/gptj-99.9/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,llama2-70b-99.9,llama2-70b-99.9,Server,29715.3,44.5891,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/llama2-70b-99.9/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Queries/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,llama2-70b-99.9,llama2-70b-99.9,Offline,31263.8,44.5884,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/llama2-70b-99.9/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,dlrm-v2-99.9,dlrm-v2-99.9,Server,370085.0,80.233,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/dlrm-v2-99.9/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Queries/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,dlrm-v2-99.9,dlrm-v2-99.9,Offline,394489.0,80.233,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/dlrm-v2-99.9/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,bert-99,bert-99,Server,58090.2,90.35676151551918,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/bert-99/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Queries/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,bert-99,bert-99,Offline,73765.6,90.35676151551918,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/bert-99/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,dlrm-v2-99,dlrm-v2-99,Server,585209.0,80.166,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/dlrm-v2-99/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Queries/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,dlrm-v2-99,dlrm-v2-99,Offline,639512.0,80.166,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/dlrm-v2-99/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,stable-diffusion-xl,stable-diffusion-xl,Server,16.5912,31.792413492798804,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/stable-diffusion-xl/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Queries/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,stable-diffusion-xl,stable-diffusion-xl,Offline,17.3717,31.779202078580855,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/stable-diffusion-xl/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,3d-unet-99,3d-unet-99,Offline,54.3608,0.86112,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/3d-unet-99/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,3d-unet-99.9,3d-unet-99.9,Offline,54.3608,0.86112,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/3d-unet-99.9/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,gptj-99,gptj-99,Server,19250.4,43.1004,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/gptj-99/Server,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Queries/s
GigaComputing,available,closed,"datacenter","GIGABYTE G593-SD1",GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT,gptj-99,gptj-99,Offline,20041.3,43.1017,1,"Intel(R) Xeon(R) Platinum 8480+",2,56,"NVIDIA H200-SXM-141GB","8",closed/GigaComputing/results/GIGABYTE_G593_SD1_H200_SXM_141GBx8_TRT/gptj-99/Offline,"TensorRT 10.2.0, CUDA 12.4","Ubuntu 22.04.4","H200 TGP 700W",1,0,v4.1,0,False,Samples/s
